集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202501091000,202501091100,Link30_6_29,321,Link7_A_out
202501091100,202501091200,Link30_6_29,288,Link7_A_out
202501091200,202501091300,Link30_6_29,257,Link7_A_out
202501091300,202501091400,Link30_6_29,320,Link7_A_out
202501091400,202501091500,Link30_6_29,361,Link7_A_out
202501091500,202501091600,Link30_6_29,325,Link7_A_out
202501091600,202501091700,Link30_6_29,434,Link7_A_out
202501091700,202501091800,Link30_6_29,560,Link7_A_out
202501091800,202501091900,Link30_6_29,548,Link7_A_out
202501091900,202501092000,Link30_6_29,287,Link7_A_out
202501090700,202501090800,Link29_28_6,265,Link7_B_in
202501090800,202501090900,Link29_28_6,370,Link7_B_in
202501090900,202501091000,Link29_28_6,450,Link7_B_in
202501091000,202501091100,Link29_28_6,310,Link7_B_in
202501091100,202501091200,Link29_28_6,290,Link7_B_in
202501091200,202501091300,Link29_28_6,282,Link7_B_in
202501091300,202501091400,Link29_28_6,358,Link7_B_in
202501091400,202501091500,Link29_28_6,359,Link7_B_in
202501091500,202501091600,Link29_28_6,287,Link7_B_in
202501091600,202501091700,Link29_28_6,383,Link7_B_in
202501091700,202501091800,Link29_28_6,409,Link7_B_in
202501091800,202501091900,Link29_28_6,491,Link7_B_in
202501091900,202501092000,Link29_28_6,251,Link7_B_in
202501090700,202501090800,Link29_6_28,552,Link7_B_out
202501090800,202501090900,Link29_6_28,638,Link7_B_out
202501090900,202501091000,Link29_6_28,400,Link7_B_out
202501091000,202501091100,Link29_6_28,322,Link7_B_out
202501091100,202501091200,Link29_6_28,343,Link7_B_out
202501091200,202501091300,Link29_6_28,298,Link7_B_out
202501091300,202501091400,Link29_6_28,307,Link7_B_out
202501091400,202501091500,Link29_6_28,334,Link7_B_out
202501091500,202501091600,Link29_6_28,367,Link7_B_out
202501091600,202501091700,Link29_6_28,381,Link7_B_out
202501091700,202501091800,Link29_6_28,504,Link7_B_out
202501091800,202501091900,Link29_6_28,341,Link7_B_out
202501091900,202501092000,Link29_6_28,226,Link7_B_out
202501090700,202501090800,Link27_27_6,297,Link7_C_in
202501090800,202501090900,Link27_27_6,417,Link7_C_in
202501090900,202501091000,Link27_27_6,290,Link7_C_in
202501091000,202501091100,Link27_27_6,307,Link7_C_in
202501091100,202501091200,Link27_27_6,298,Link7_C_in
202501091200,202501091300,Link27_27_6,262,Link7_C_in
202501091300,202501091400,Link27_27_6,272,Link7_C_in
202501091400,202501091500,Link27_27_6,328,Link7_C_in
202501091500,202501091600,Link27_27_6,287,Link7_C_in
202501091600,202501091700,Link27_27_6,336,Link7_C_in
202501091700,202501091800,Link27_27_6,352,Link7_C_in
202501091800,202501091900,Link27_27_6,308,Link7_C_in
202501091900,202501092000,Link27_27_6,176,Link7_C_in
202501090700,202501090800,Link27_6_27,200,Link7_C_out
202501090800,202501090900,Link27_6_27,298,Link7_C_out
202501090900,202501091000,Link27_6_27,306,Link7_C_out
202501091000,202501091100,Link27_6_27,208,Link7_C_out
202501091100,202501091200,Link27_6_27,277,Link7_C_out
202501091200,202501091300,Link27_6_27,186,Link7_C_out
202501091300,202501091400,Link27_6_27,249,Link7_C_out
202501091400,202501091500,Link27_6_27,248,Link7_C_out
202501091500,202501091600,Link27_6_27,249,Link7_C_out
202501091600,202501091700,Link27_6_27,254,Link7_C_out
202501091700,202501091800,Link27_6_27,285,Link7_C_out
202501091800,202501091900,Link27_6_27,264,Link7_C_out
202501091900,202501092000,Link27_6_27,171,Link7_C_out
202501090700,202501090800,Link16_18_3,296,Link10_A_in
202501090800,202501090900,Link16_18_3,311,Link10_A_in
202501090900,202501091000,Link16_18_3,228,Link10_A_in
202501091000,202501091100,Link16_18_3,256,Link10_A_in
202501091100,202501091200,Link16_18_3,233,Link10_A_in
202501091200,202501091300,Link16_18_3,207,Link10_A_in
202501091300,202501091400,Link16_18_3,209,Link10_A_in
202501091400,202501091500,Link16_18_3,225,Link10_A_in
202501091500,202501091600,Link16_18_3,257,Link10_A_in
202501091600,202501091700,Link16_18_3,290,Link10_A_in
202501091700,202501091800,Link16_18_3,351,Link10_A_in
202501091800,202501091900,Link16_18_3,288,Link10_A_in
202501091900,202501092000,Link16_18_3,206,Link10_A_in
202501090700,202501090800,Link16_3_18,288,Link10_A_out
202501090800,202501090900,Link16_3_18,348,Link10_A_out
202501090900,202501091000,Link16_3_18,209,Link10_A_out
202501091000,202501091100,Link16_3_18,162,Link10_A_out
202501091100,202501091200,Link16_3_18,156,Link10_A_out
202501091200,202501091300,Link16_3_18,181,Link10_A_out
202501091300,202501091400,Link16_3_18,214,Link10_A_out
202501091400,202501091500,Link16_3_18,212,Link10_A_out
